FRAME,HB_SER_HIS,DISTANCE_SER_HIS,HB_HIS_ASP,DISTANCE_HIS_ASP,DISTANCE_SER,ENERGY,OX_HB_MET,DISTANCE_MET,OX_HB_TYR,DISTANCE_TYR,DIHEDRAL,CONFORMATION,DIHEDRAL_159,DIHEDRAL_185,DIHEDRAL_237,STRUCTURE
126,YES,2.011,YES,1.781,3.531,-6.61,NO,3.77,YES,2.806,72.235,GAUCHE,-141.429,-76.577,-137.75,S214H_dimer_validated_mini00126.yob
127,YES,1.941,YES,1.661,3.099,-6.61,NO,3.555,YES,2.808,70.952,GAUCHE,-140.412,-93.88,-132.153,S214H_dimer_validated_mini00127.yob
128,YES,2.275,YES,1.62,2.896,-6.61,NO,3.814,YES,3.028,70.136,GAUCHE,-160.677,-80.542,-125.304,S214H_dimer_validated_mini00128.yob
129,YES,2.09,YES,1.754,3.236,-6.61,NO,3.372,NO,3.423,76.283,GAUCHE,-136.699,-76.245,-123.017,S214H_dimer_validated_mini00129.yob
130,NO,1.927,YES,1.941,3.457,-6.61,NO,3.627,YES,2.934,65.789,GAUCHE,-144.836,-72.545,-122.619,S214H_dimer_validated_mini00130.yob
131,NO,2.625,YES,1.74,3.652,-6.61,NO,4.462,YES,3.121,78.599,GAUCHE,-146.173,-74.083,-111.391,S214H_dimer_validated_mini00131.yob
132,YES,2.055,YES,1.946,3.149,-6.61,YES,3.229,YES,2.912,59.019,GAUCHE,-124.286,-81.505,-115.675,S214H_dimer_validated_mini00132.yob
133,YES,2.261,YES,1.68,3.035,-6.61,NO,3.648,YES,3.085,79.36,GAUCHE,-149.392,-83.825,-118.286,S214H_dimer_validated_mini00133.yob
134,YES,1.876,YES,1.741,2.916,-6.61,NO,3.558,YES,2.837,64.858,GAUCHE,-137.14,-83.719,-134.255,S214H_dimer_validated_mini00134.yob
135,NO,2.174,YES,1.841,3.664,-6.61,NO,3.631,YES,2.81,65.91,GAUCHE,-153.184,-91.442,-115.112,S214H_dimer_validated_mini00135.yob
136,YES,2.136,YES,1.757,3.413,-6.61,NO,4.464,YES,2.732,64.112,GAUCHE,-140.627,-77.019,-125.337,S214H_dimer_validated_mini00136.yob
